iter	MultiClass
0	2.534976981
1	2.112218854
2	1.781017632
3	1.562366353
4	1.379828547
5	1.236742191
6	1.106169805
7	1.010676573
8	0.9173565946
9	0.8394375835
10	0.7716165833
11	0.7153407986
12	0.6629488309
13	0.6192737356
14	0.5739776293
15	0.5341956024
16	0.4997599752
17	0.4720846641
18	0.4417713972
19	0.4156570494
20	0.39378392
21	0.3707440509
22	0.3527502785
23	0.3350264161
24	0.3176390047
25	0.3023942279
26	0.2865212917
27	0.2719988534
28	0.2615064804
29	0.2476011285
30	0.2372967759
31	0.2264737873
32	0.2170364699
33	0.2069942483
34	0.1981137254
35	0.1904698621
36	0.184043992
37	0.1776482383
38	0.1700102669
39	0.1647375777
40	0.1590398177
41	0.154259697
42	0.1491333572
43	0.1440302179
44	0.138784187
45	0.1351400855
46	0.1314098414
47	0.1290491343
48	0.1249376286
49	0.1211281576
50	0.1180263421
51	0.114648341
52	0.1109340657
53	0.1083069578
54	0.1059448392
55	0.1032736406
56	0.1008530949
57	0.09863447185
58	0.09622425559
59	0.09415507053
60	0.09211133637
61	0.08994568475
62	0.08781751028
63	0.08635758194
64	0.08436474888
65	0.08292375438
66	0.08097912879
67	0.07957066969
68	0.07817373182
69	0.07672455523
70	0.07544246294
71	0.07401289104
72	0.07212967227
73	0.0707922112
74	0.06972979423
75	0.06839767554
76	0.06714622305
77	0.06602470488
78	0.06498337164
79	0.06379201143
80	0.06301477604
81	0.06221926721
82	0.06116563692
83	0.06034782981
84	0.05958732559
85	0.05861459345
86	0.05794257757
87	0.05702632181
88	0.056176231
89	0.05508316528
90	0.05456862056
91	0.0539380597
92	0.05322904927
93	0.05240585856
94	0.05169385927
95	0.05079085252
96	0.05015740348
97	0.04916468234
98	0.04847838577
99	0.04787757474
