iter	Passed	Remaining
0	176	17495
1	203	9994
2	230	7457
3	257	6176
4	285	5423
5	312	4899
6	340	4523
7	366	4219
8	394	3984
9	420	3787
10	447	3623
11	474	3480
12	501	3356
13	528	3247
14	555	3146
15	582	3058
16	608	2972
17	636	2897
18	662	2822
19	689	2756
20	715	2692
21	742	2631
22	768	2573
23	795	2520
24	823	2469
25	849	2419
26	875	2368
27	902	2321
28	928	2274
29	954	2228
30	981	2184
31	1007	2140
32	1033	2098
33	1061	2060
34	1088	2022
35	1116	1984
36	1154	1966
37	1196	1952
38	1223	1913
39	1249	1874
40	1276	1836
41	1303	1799
42	1330	1763
43	1356	1726
44	1383	1690
45	1410	1655
46	1438	1622
47	1467	1589
48	1495	1556
49	1521	1521
50	1549	1488
51	1576	1454
52	1602	1420
53	1629	1387
54	1656	1355
55	1684	1323
56	1711	1291
57	1739	1259
58	1766	1227
59	1794	1196
60	1821	1164
61	1848	1133
62	1875	1101
63	1903	1070
64	1929	1038
65	1955	1007
66	1982	976
67	2010	946
68	2037	915
69	2064	884
70	2091	854
71	2119	824
72	2146	793
73	2174	763
74	2201	733
75	2228	703
76	2254	673
77	2280	643
78	2307	613
79	2334	583
80	2361	553
81	2388	524
82	2415	494
83	2442	465
84	2469	435
85	2496	406
86	2524	377
87	2551	347
88	2578	318
89	2605	289
90	2631	260
91	2659	231
92	2685	202
93	2713	173
94	2740	144
95	2766	115
96	2793	86
97	2820	57
98	2847	28
99	2873	0
